date,name,category,value
2016-01-01,Fédération Française de Football,Football,2106972
2016-01-01,Fédération Française de Tennis,Tennis,1039352
2016-01-01,Fédération Française d'Équitation,Equitation,663194
2016-01-01,Fédération Française de Basketball,Basketball,535687
2016-01-01,Fédération Française de Handball,Handball,519716
2016-01-01,Fédération Française de Judo,Judo,559111
2016-01-01,Fédération Française de Golf,Golf,407719
2016-01-01,Fédération Française de Natation,Swimming,316896
2016-01-01,Fédération Française de Rugby,Rugby,328344
2016-01-01,Fédération Française de Gymnastique,Gymnastics,293166
2016-01-01,Fédération Française d'Athlétisme,Athletics,301976
2017-01-01,Fédération Française de Football,Football,2131165
2017-01-01,Fédération Française de Tennis,Tennis,1019816
2017-01-01,Fédération Française d'Équitation,Equitation,644800
2017-01-01,Fédération Française de Basketball,Basketball,538295
2017-01-01,Fédération Française de Handball,Handball,549295
2017-01-01,Fédération Française de Judo,Judo,563580
2017-01-01,Fédération Française de Golf,Golf,410261
2017-01-01,Fédération Française de Natation,Swimming,314299
2017-01-01,Fédération Française de Rugby,Rugby,313237
2017-01-01,Fédération Française de Gymnastique,Gymnastics,310403
2017-01-01,Fédération Française d'Athlétisme,Athletics,307018
2018-01-01,Fédération Française de Football,Football,2108811
2018-01-01,Fédération Française de Tennis,Tennis,985551
2018-01-01,Fédération Française d'Équitation,Equitation,628262
2018-01-01,Fédération Française de Basketball,Basketball,525040
2018-01-01,Fédération Française de Handball,Handball,527841
2018-01-01,Fédération Française de Judo,Judo,546954
2018-01-01,Fédération Française de Golf,Golf,412726
2018-01-01,Fédération Française de Natation,Swimming,308863
2018-01-01,Fédération Française de Rugby,Rugby,334853
2018-01-01,Fédération Française de Gymnastique,Gymnastics,317270
2018-01-01,Fédération Française d'Athlétisme,Athletics,314692
2019-01-01,Fédération Française de Football,Football,2198835
2019-01-01,Fédération Française de Tennis,Tennis,978895
2019-01-01,Fédération Française d'Équitation,Equitation,617524
2019-01-01,Fédération Française de Basketball,Basketball,516387
2019-01-01,Fédération Française de Handball,Handball,492101
2019-01-01,Fédération Française de Judo,Judo,524425
2019-01-01,Fédération Française de Golf,Golf,418741
2019-01-01,Fédération Française de Natation,Swimming,363809
2019-01-01,Fédération Française de Rugby,Rugby,325636
2019-01-01,Fédération Française de Gymnastique,Gymnastics,325934
2019-01-01,Fédération Française d'Athlétisme,Athletics,316749
2020-01-01,Fédération Française de Football,Football,2109844
2020-01-01,Fédération Française de Tennis,Tennis,972007
2020-01-01,Fédération Française d'Équitation,Equitation,601166
2020-01-01,Fédération Française de Basketball,Basketball,520235
2020-01-01,Fédération Française de Handball,Handball,464955
2020-01-01,Fédération Française de Judo,Judo,512036
2020-01-01,Fédération Française de Golf,Golf,402991
2020-01-01,Fédération Française de Natation,Swimming,378032
2020-01-01,Fédération Française de Rugby,Rugby,319604
2020-01-01,Fédération Française de Gymnastique,Gymnastics,321476
2020-01-01,Fédération Française d'Athlétisme,Athletics,305914
2021-01-01,Fédération Française de Football,Football,1902036
2021-01-01,Fédération Française de Tennis,Tennis,947288
2021-01-01,Fédération Française d'Équitation,Equitation,665873
2021-01-01,Fédération Française de Basketball,Basketball,423482
2021-01-01,Fédération Française de Handball,Handball,340974
2021-01-01,Fédération Française de Judo,Judo,368661
2021-01-01,Fédération Française de Golf,Golf,436846
2021-01-01,Fédération Française de Natation,Swimming,286397
2021-01-01,Fédération Française de Rugby,Rugby,317866
2021-01-01,Fédération Française de Gymnastique,Gymnastics,246688
2021-01-01,Fédération Française d'Athlétisme,Athletics,259652
2022-01-01,Fédération Française de Football,Football,2130095
2022-01-01,Fédération Française de Tennis,Tennis,1044574
2022-01-01,Fédération Française d'Équitation,Equitation,692396
2022-01-01,Fédération Française de Basketball,Basketball,527913
2022-01-01,Fédération Française de Handball,Handball,454086
2022-01-01,Fédération Française de Judo,Judo,469076
2022-01-01,Fédération Française de Golf,Golf,441961
2022-01-01,Fédération Française de Natation,Swimming,379916
2022-01-01,Fédération Française de Rugby,Rugby,351828
2022-01-01,Fédération Française de Gymnastique,Gymnastics,285508
2022-01-01,Fédération Française d'Athlétisme,Athletics,302583
2023-01-01,Fédération Française de Football,Football,2215848
2023-01-01,Fédération Française de Tennis,Tennis,1106989
2023-01-01,Fédération Française d'Équitation,Equitation,675186
2023-01-01,Fédération Française de Basketball,Basketball,594408
2023-01-01,Fédération Française de Handball,Handball,531864
2023-01-01,Fédération Française de Judo,Judo,529244
2023-01-01,Fédération Française de Golf,Golf,445306
2023-01-01,Fédération Française de Natation,Swimming,402350
2023-01-01,Fédération Française de Rugby,Rugby,374738
2023-01-01,Fédération Française de Gymnastique,Gymnastics,324111
2023-01-01,Fédération Française d'Athlétisme,Athletics,307021
